customer_name,customer_gender,loyalty_card_number,latitude,longitude,degree,customer_id
John Grande,1,0,38.76963453000224,-9.20526741830914,0,46147
Richard Sturgeon,1,1,38.745279007509154,-9.136902849886146,1,1117
Brittany Mayo,0,1,38.76097103185597,-9.142679041128549,0,22643
Jose Samson,1,1,38.76441690703406,-9.096106212322496,1,23396
Willis Burdick,1,1,38.7557383049526,-9.132479510035935,0,34592
Betty Gill,0,1,38.76720908259078,-9.167833012098905,0,21335
Shirley Johnson,0,1,38.77266743252133,-9.170274653917186,0,28627
Fernando Thompson,1,1,38.77696924866486,-9.180437399740658,0,17642
Judith Portillo,0,0,38.7172922249487,-9.153325420745231,0,23208
Thomas Claypoole,1,0,38.714306247962256,-9.17910395622375,0,48259
Amanda Mcclure,0,1,38.749212298129976,-9.173989490506171,0,29207
Catherine Morales,0,0,38.71519630944096,-9.149764415664356,0,34391
Ricky Rossiter,1,1,38.76313820404857,-9.12536499815637,0,22301
William Lindsay,1,0,38.75012132105656,-9.183879504373436,0,41984
David Johnson,1,1,38.75869518544431,-9.118851706084122,0,28540
Elmer Acevedo,1,1,38.76594801814407,-9.143907615555008,0,29573
Patrica Penn,0,1,38.75243334430984,-9.131205421035856,0,13506
James Williams,1,1,38.73622212779639,-9.152560239975616,0,34540
Amber Jefferson,0,0,38.7292797756062,-9.179829863696478,0,44552
Grace Watts,0,0,38.74977907738088,-9.196227670952982,0,40461
Arnold Bauder,1,1,38.77854376583211,-9.1425073280086,0,6629
Randy Kirby,1,1,38.726520460809176,-9.127391452173006,0,22914
Donald Graves,1,1,38.77749547346131,-9.135916427574983,0,39703
Michael Fain,1,0,38.77141543130105,-9.136860141178172,0,41077
Abbie Pollard,0,0,38.712357653872,-9.164760193324891,0,23538
Johnathan Ayers,1,1,38.76474717539532,-9.095698557691222,2,10776
Marguerite Atkins,0,0,38.71766151915942,-9.141425767969857,0,36628
Fred Phinney,1,0,38.71864217042569,-9.179981994140398,0,30647
Sarah Ragusa,0,0,38.78397434344576,-9.12504239015505,0,40267
Christopher Peeler,1,0,38.71908073686592,-9.1199718134549,0,26317
Lacresha Danger,0,0,38.73732347917549,-9.163594560968768,0,40469
Pamela Ferguson,0,1,38.738302012965256,-9.155426877735945,0,16348
Chris Simmons,1,1,38.76082766501606,-9.11850014298177,1,17727
Ruth Bell,0,1,38.72611644094471,-9.153842427827708,0,10271
Clarence Abernathy,1,1,38.76326607137091,-9.16958657947026,1,5338
Glenn Lane,1,1,38.75713373203508,-9.190503980592442,2,14456
Jose Collins,1,1,38.75176910212927,-9.122486823623635,0,17042
Beatrice Walters,0,0,38.72822883290163,-9.173511670703148,0,39959
Cynthia Gandy,0,1,38.74857091749833,-9.173889953589327,3,18565
Edna Jeffers,0,1,38.73958594091727,-9.123718499766005,0,26957
Shane Hernandez,1,1,38.77165911292697,-9.131498753295002,0,31437
Angela Parker,0,0,38.72381733007428,-9.194595706556283,0,39168
Marcus Gercak,1,1,38.73637796861572,-9.161939687464658,3,5499
Linda Lied,0,0,38.73635847992426,-9.149314934110588,0,40168
Jean Hartzell,0,1,38.751589434950425,-9.194620526830096,0,13803
Stephen Graham,1,1,38.74500559356632,-9.140603482199351,0,15858
John Schenk,1,1,38.76052033377196,-9.163304720247416,0,26159
David Ray,1,0,38.74887465713759,-9.173012884336204,0,44390
Carolyn Schwartz,0,1,38.76894210871917,-9.14114378027238,0,30626
Ellen Avila,0,1,38.7184525451653,-9.158802554575612,2,13597
Ellen Roberson,0,0,38.73659883852616,-9.14991399845478,0,28137
Ahmed Allen,1,1,38.70271078968478,-9.169820310275192,0,20894
Doyle Slater,1,1,38.70017511432472,-9.138849884079145,1,1350
Lilian Addesso,0,0,38.778955701606726,-9.1582672398882,0,20116
Daniel Wright,1,0,38.747795018371335,-9.172161489513714,0,48048
Michael Mcrary,1,1,38.71479141691482,-9.179052705339338,0,24173
Christa Lawrence,0,1,38.77830092325695,-9.133857733390991,0,5715
Ruth Beaver,0,1,38.74313288394881,-9.140143269949876,0,17715
Edith Lockley,0,0,38.778426814045424,-9.209191539837809,0,12267
Anna Brown,0,1,38.71918281842032,-9.190576061778634,1,1224
Reda Burke,0,0,38.75932338321319,-9.166963119286454,0,27752
Bertha Durazo,0,0,38.72707255994926,-9.11949035749173,0,48406
Charleen Galvez,0,0,38.7356781497674,-9.195283504459177,0,33738
Michael Jenkins,1,1,38.76353634341784,-9.09494358825778,1,12610
Rebecca Shelton,0,0,38.76348453726999,-9.094692919545086,0,27379
Yessenia Quella,0,1,38.8004787147034,-9.067807866814205,3,6228
Joshua Sampson,1,1,38.76975973890298,-9.154302423044786,0,20600
Kevin Stringer,1,1,38.72783436518204,-9.16411858990526,0,6485
Roseann Grier,0,1,38.75429868347654,-9.154610125354758,2,1528
Aaron Urreta,1,1,38.7224296849981,-9.123614652621844,0,25752
Concepcion Simmons,0,1,38.73194396630617,-9.120738406230563,0,11560
Leonard Miniard,1,0,38.73442456441874,-9.137087169600598,0,30102
Jessica Terrell,0,0,38.77469173664838,-9.141659131189416,0,33938
Trinidad Koss,1,0,38.76104414040581,-9.166806828959698,0,29451
Jeff Nelson,1,0,38.72248331519795,-9.150383422470274,0,45413
John Boucher,1,1,38.772259025663736,-9.122387852646572,0,32109
Karen Taylor,0,1,38.78029166480252,-9.140398780915731,0,26394
Michelle Evans,0,0,38.75229616369709,-9.168586984739838,0,24795
Willie Felton,1,1,38.78655486718912,-9.179045667563836,0,15351
Myrtle Shackleford,0,1,38.76557111429933,-9.174628353196052,0,30168
Ruth Robbins,0,1,38.736727314894985,-9.139355561364145,0,23964
William Day,1,0,38.77188019710868,-9.134651176707337,0,47710
Andrew Fields,1,0,38.72906916023852,-9.164947684372844,0,47418
Michael Stocks,1,1,38.71553470275275,-9.15103546424818,0,35873
Kyle Rossi,1,1,38.731472417309874,-9.162281597819108,0,27189
Bonnie Beach,0,1,38.74869815514397,-9.173599241731177,2,8190
Benjamin Nucklos,1,0,38.75983226865742,-9.167569424488237,0,46991
Sonja Atkinson,0,1,38.7633478108814,-9.179715464140925,3,2816
Janet Kane,0,0,38.710477934036376,-9.151007477657268,0,31645
Eva Saenz,0,1,38.75905197078704,-9.153067756389342,0,29739
Marcie Shaner,0,1,38.72911799068707,-9.155769027283746,0,17669
Donna Contreras,0,0,38.71577297144548,-9.14918579798593,0,49303
Helen Hamlin,0,0,38.77438572034306,-9.12445208894501,0,37229
Margaret Holiday,0,1,38.747679364346624,-9.172770465938486,2,20125
William Mcdowell,1,0,38.76656338994024,-9.191137106909531,0,32785
Luis Weikel,1,0,38.7465132675808,-9.160819874598918,0,23998
Jennifer Bailey,0,0,38.733998875128414,-9.155926276109192,0,47644
Jennifer Leonard,0,1,38.76045583458993,-9.167369315013168,0,23301
Gerald Hess,1,0,38.735750400623,-9.190954869120803,0,40807
Dennis Stilson,1,0,38.73795344490166,-9.15931491837139,0,33205
Vincent Braddock,1,0,38.74262514179704,-9.159206286462789,0,46793
Mandy Stewart,0,0,38.7294355231486,-9.13185884739324,0,48607
Dean Miller,1,0,38.7418581714793,-9.190531012780244,0,46748
Nellie Delgado,0,1,38.738385036563976,-9.159031959235456,0,15560
Michael Heinlen,1,1,38.707769060816894,-9.166323501625303,0,18464
Lynette Mcclintock,0,1,38.737257449266096,-9.120337163981844,0,33179
Anthony Brooks,1,1,38.75699728531505,-9.192797406162818,0,30444
Gale Griggs,1,1,38.76058074677425,-9.126582108746613,0,21329
Marie Reilly,0,1,38.77661776817161,-9.133359800070794,0,31104
Mary Bires,0,0,38.76089387350665,-9.167054217000167,0,27702
Natalie Kovacs,0,0,38.77114750380256,-9.146041143592498,0,48360
Deborah Hill,0,0,38.77843277939246,-9.157534890770837,0,43287
Randy Harris,1,1,38.70349790691928,-9.169412288608626,0,15298
Joseph Novak,1,1,38.74753915193729,-9.17208482093872,0,21318
Terrie Buck,0,1,38.75360907878903,-9.13872826640849,0,15483
Antonio Lor,1,0,38.72799091675803,-9.174396316333402,0,44210
Jason Little,1,1,38.72413160353627,-9.194987624859,0,8019
Adam Boddie,1,0,38.72912892920873,-9.162808304122107,0,34796
Christopher Adams,1,1,38.72860537386829,-9.199496170811445,0,11679
Loren Pettibone,1,0,38.73061866855609,-9.151020176617724,0,48060
Penny Brunson,0,0,38.71006101095233,-9.1465959156363,0,46913
Mark Hopkins,1,1,38.75434176966328,-9.1892135957982,3,3433
Matthew Adkins,1,1,38.748830538959645,-9.136038740410836,1,8988
Charles Mcaferty,1,0,38.786088929135744,-9.145847304554128,0,40712
Micheal Hamar,1,0,38.74282547828224,-9.168389291208468,0,35711
Grace White,0,1,38.74802993722379,-9.172321375931022,2,7922
Mildred Whelton,0,1,38.7305840066976,-9.166255442369316,0,28475
Wendy Jones,0,0,38.75085495405712,-9.138612251757534,0,45129
Jerry Schaub,1,1,38.75560055589085,-9.116611773658976,1,5753
Joanna Henry,0,1,38.78506218372164,-9.138003572385475,0,32976
Daniel Thornton,1,0,38.74798146586594,-9.172430913159936,0,47139
Christopher Rooker,1,1,38.78137036580104,-9.16503352301176,0,26282
Mike Patterson,1,0,38.76438171958868,-9.095870764760564,0,39798
Timothy Achenbach,1,0,38.748446086677696,-9.166008759327644,0,47342
Robert Pilkington,1,1,38.73209771521059,-9.142632150329804,0,30275
Gianna Miller,0,0,38.763818303090986,-9.095566240210704,0,34001
Barbara Johnson,0,0,38.72971234540326,-9.16766213107082,0,46299
Matthew Boone,1,1,38.77869603214227,-9.18218364106152,0,4876
Virginia Harriss,0,1,38.75846757017781,-9.1844656358889,2,12777
Herbert Kanas,1,1,38.76587027488467,-9.142526649975975,0,33438
Dallas Lane,1,0,38.77641278300548,-9.190758994313413,0,35747
William Miller,1,1,38.70878711547874,-9.168912567144988,0,13288
Claire Mclaren,0,1,38.76415986824511,-9.20620951041382,0,24648
Petra Goebel,0,0,38.77867220972813,-9.14800001418172,0,36914
Nathan Owens,1,1,38.70976434974173,-9.122970285053542,0,22964
Janell Street,0,1,38.737355648750494,-9.129860097295152,1,4072
Peggy Depedro,0,1,38.7939383600074,-9.107781816499102,0,23102
Lucy Donovan,0,0,38.74839441576631,-9.173630482103826,0,44387
Bertha Wright,0,0,38.76472077237036,-9.095908499040506,0,32484
Gary Mark,1,1,38.75009308998078,-9.165006889003363,0,13793
Sandra Stroman,0,0,38.73630993233679,-9.149079224581156,0,42903
Sherry Rodriguez,0,1,38.73639368793526,-9.18523544641712,0,28454
Maria Sidhu,0,1,38.727329144252245,-9.14576984328156,0,19201
Alicia Hoppe,0,1,38.7291419326468,-9.132190097345434,2,1615
Adele Sager,0,0,38.76040951040801,-9.165927201292126,0,32428
James Campbell,1,1,38.72096902162329,-9.14967165307119,1,8834
Randy Rodriquez,1,1,38.76184987437801,-9.20202288410368,0,5326
Gayle Riley,0,0,38.76351343695909,-9.146593209457658,0,42118
Douglas Christensen,1,0,38.73674980238851,-9.149753849637122,0,41144
Thomas Grullon,1,1,38.77740302735071,-9.160035884782364,1,7302
Mary Buroker,0,1,38.756718923059296,-9.155006014470668,0,34453
Patti Hoffmann,0,0,38.71509505651481,-9.180892658329666,0,47157
Jesus Madrid,1,0,38.74291373939287,-9.148767339774286,0,30006
Jeffrey Grimaldo,1,0,38.72129728222128,-9.17699663550277,0,40592
Thomas Buffin,1,1,38.76343469253136,-9.116175098020014,0,29713
Steven Moore,1,0,38.71419471516149,-9.18781514519802,0,26980
Betty Thomas,0,1,38.77646356705216,-9.140005949248058,0,23838
Shane Rome,1,1,38.722238949348544,-9.123008445997236,0,38010
Adam Short,1,1,38.77102856347947,-9.169610877381952,0,9072
Ruth Lopez,0,0,38.73133921317464,-9.062683804546106,0,35548
Lisa Mcintosh,0,1,38.76411966131804,-9.130317490941612,3,4093
Nicole Rigsby,0,0,38.73085086883694,-9.1943027990491,0,46609
Louis Cecil,1,1,38.76429160482278,-9.147766944709923,0,13823
Stacey Jones,0,0,38.76944243430985,-9.123639816179915,0,30107
Sandy Buster,0,1,38.73204334142081,-9.1427005965945,2,4669
Victoria Taylor,0,0,38.785333789339056,-9.133919706375403,0,44021
Jennifer Williams,0,1,38.77610782969239,-9.121887349034912,2,4351
James Eison,1,1,38.76354515577109,-9.094973672565295,0,24255
Albert Canterbury,1,1,38.726271226501126,-9.15720616559564,1,15855
Jennifer Alexander,0,0,38.769004745176645,-9.18848302473936,0,39993
Charles Lieb,1,1,38.72704072883207,-9.138594766611032,0,23180
Johnnie Goddard,0,1,38.74790565722041,-9.173311201865385,3,21865
Myrtle Trueman,0,1,38.74786876891735,-9.173945404988965,1,11730
Frank Cummings,1,0,38.797381559333616,-9.147426680026484,0,48982
George Portsche,1,1,38.761987209909975,-9.182189584979929,0,39062
Margaret Duke,0,1,38.71374573162314,-9.147252697167932,3,957
Tyrone Irvine,1,1,38.7603622729272,-9.177860123616965,0,11773
Norma Crabtree,0,1,38.73386375348277,-9.132202666362462,0,21282
Frankie Francis,0,0,38.76069845980434,-9.15183413633577,0,47970
Gregg Mendez,1,1,38.7605308957206,-9.16681513703386,3,11625
George Nava,1,1,38.76109205460834,-9.17562118181166,0,15859
Karisa Marine,0,0,38.761339503626935,-9.146201104813333,0,43757
Walter Castrellon,1,1,38.762218800137816,-9.166032168826431,0,32179
Milagros Patrick,0,1,38.769362405012025,-9.178724246758485,0,38221
Herb Farmer,1,0,38.73742883714666,-9.149974298250738,0,49324
Luke Garcia,1,1,38.74707466360254,-9.147692147987051,0,23398
Tommie Harvey,0,0,38.7658423066948,-9.14582856010244,0,46236
Patrick Sullivan,1,0,38.72169706179655,-9.15722848298746,0,46097
Barbara Denner,0,0,38.76840275339385,-9.127253315001738,0,36410
Noel Paar,1,0,38.72086559622535,-9.1769674366849,0,47119
Malcolm Oakley,1,0,38.78337333057987,-9.132013108894506,0,45520
Melanie Sherrill,0,1,38.736066945609146,-9.125602351187656,2,4218
Kyle Claggett,1,0,38.73025160819307,-9.17035578171833,0,33405
Sarah Luna,0,1,38.763325953671526,-9.206453965032583,0,21927
Joseph Doten,1,1,38.72906243328242,-9.151552783541382,1,14094
Betty Worthington,0,1,38.78581364828357,-9.193448301894325,0,31494
Paul Cremeans,1,0,38.78155806333498,-9.19828935018165,0,43014
Clarence Snelling,1,0,38.7407349480952,-9.173857294296818,0,48409
Donald Denis,1,1,38.75319817692122,-9.170948438267631,3,3054
James Quan,1,1,38.74342623157001,-9.162268690207172,3,16179
Nicole Zorra,0,0,38.76084633949224,-9.122043335786197,0,27983
Kellie Stephen,0,0,38.77394548673404,-9.133167194265688,0,45444
Jonathan Wilson,1,0,38.76422693123015,-9.0953188302513,0,47479
Dawn Cohen,0,1,38.7128257694886,-9.190594235005298,1,7623
Candy Dan,0,1,38.73779281940944,-9.179373863608715,1,905
Peter Lucero,1,1,38.76356143377848,-9.095602662031864,1,1029
Richard Smith,1,0,38.72781127685036,-9.12067482636647,0,44109
Jennifer Adkins,0,0,38.71634657185313,-9.14417569141013,0,49598
James Schwein,1,1,38.734752567307694,-9.190261576978823,3,10697
Jimmie Day,0,0,38.75135658040159,-9.133300141024725,0,33619
Kevin Cagle,1,0,38.78449326883575,-9.145450746839868,0,40101
George Smith,1,1,38.74463677467322,-9.16359454168822,0,9687
Pierre Triplett,1,1,38.720963584798525,-9.189012963075388,0,19037
Sheila Johnson,0,1,38.72756947713466,-9.173349771405222,2,7027
Alice Rivera,0,1,38.75959416764685,-9.167474499701893,3,10399
Brittany Jester,0,0,38.73512742888091,-9.125874676548955,0,29146
Thomas Barr,1,1,38.76333800950986,-9.1534399690141,0,20342
Kris Heimsness,0,1,38.72156415012631,-9.190855346810803,0,19823
Peggy Miller,0,1,38.70942959472429,-9.139911331330142,1,13334
Alfredo Knisely,1,1,38.75954119347136,-9.1688697646562,0,17408
Mary Johnson,0,1,38.76993307629192,-9.189558268933297,1,2541
Priscilla Schoemaker,0,1,38.74863016393007,-9.173308524260682,1,15319
Charles Keller,1,1,38.77529709377255,-9.125987350984463,0,22957
Crystal Spears,0,0,38.76323399787871,-9.094468842155637,0,27687
Eugene Stiles,1,1,38.7217690550445,-9.188684043068056,0,23036
Angelina Earnest,0,0,38.73710067727189,-9.150468310040846,0,33400
Kevin Nunez,1,0,38.78750828034095,-9.192159980343696,0,27657
Diana Bannon,0,0,38.777355730991445,-9.192049663731028,0,44933
Cornelius Warren,1,1,38.72394786025695,-9.195315416301613,0,36428
Iris Walter,0,1,38.75583554537809,-9.199280166055663,0,16946
Daniel Miranda,1,0,38.76321200255269,-9.094716238127097,0,35063
Mary Feeney,0,1,38.73669843356768,-9.14733071072198,0,24769
Lucille Cantu,0,0,38.74855044601253,-9.154311921251765,0,25739
Mark Lairy,1,0,38.70910047240926,-9.167469254823182,0,44391
Bobbie Frederick,0,1,38.7860000190394,-9.14216565145232,1,10577
Mike Matteson,1,1,38.75023948135491,-9.146521718386971,0,22042
Justin Kofford,1,1,38.7603830377494,-9.165746944196147,1,6631
Judith Kanzenbach,0,0,38.70800746822138,-9.156546946735045,0,47640
William Langston,1,0,38.75582545503404,-9.137411505682966,0,21170
Antonio Castillo,1,0,38.793184410274286,-9.176443271645107,0,45863
Thomas Kasper,1,0,38.709655186655,-9.13232160724909,0,39079
Val Kaminski,1,0,38.72805175218312,-9.18249908399348,0,28363
Michael Hall,1,1,38.72501775185734,-9.190311962772777,0,5406
Latisha Abuaita,0,1,38.78635723851874,-9.167392575695787,0,5608
Ryan Adair,1,0,38.71206440653497,-9.193078972997624,0,43608
Clarence Rustin,1,1,38.77133342891671,-9.158001532529155,2,671
Norma Balcom,0,1,38.73675645603978,-9.14999692368531,2,24233
Rebecca Yoon,0,1,38.73629760291436,-9.148992197699611,2,14485
Melissa Ott,0,0,38.716810017512245,-9.169122416268902,0,30564
Joan Martin,0,1,38.76835464037237,-9.172088689492348,0,12023
William Woodson,1,0,38.7571420136114,-9.161938832837516,0,26021
Francis Kozak,0,0,38.75020236607629,-9.208955139985257,0,22850
Mary Petty,0,1,38.73607991866238,-9.14950750476194,3,12820
Janet Robeson,0,1,38.725946391615246,-9.138445901269211,3,5987
Dustin Osborne,1,1,38.746708209111766,-9.182608185311784,0,36405
Edith Lindsay,0,1,38.74922090791655,-9.17369080291246,2,16069
Shelley Call,0,0,38.75179807946959,-9.136018715463116,0,45259
George Rose,1,1,38.74340407486193,-9.191333466910312,0,17146
Peggy Frost,0,1,38.74870141955548,-9.181995041716965,0,34458
Alfred Byler,1,1,38.71424961009217,-9.208475262958244,0,3436
Frances Seneca,0,1,38.71730990876533,-9.13778422773972,0,33292
Leanora Felver,0,1,38.73481460873677,-9.126059149714404,0,6992
Concepcion Boren,0,0,38.76445939532869,-9.096331253315304,0,38492
Lena Munday,0,1,38.75240371265693,-9.18412246929348,0,26860
Laura Martinez,0,1,38.74145974025241,-9.151929786443391,0,19192
William Luhman,1,1,38.728583915525846,-9.195688284835404,0,8703
Sheri Paredes,0,0,38.76271944246534,-9.154114312837804,0,41183
Catherine Howard,0,0,38.74613806158178,-9.159217069651197,0,45227
Victor Kraft,1,1,38.76294974073355,-9.095543053903931,1,15452
Diana Benton,0,1,38.71150063753191,-9.141952475679297,0,31679
Ricky Palmer,1,0,38.70862978982549,-9.154014592881405,0,22376
Marie Ocasio,0,1,38.71674422804264,-9.134394406100531,1,5641
Billy Watts,1,0,38.73906603321105,-9.135855272013885,0,32102
Venus Parizo,0,0,38.78184111092021,-9.077234182527816,0,34800
Charles Berry,1,0,38.73685971464074,-9.14974100909776,0,36923
Christy Sneed,0,1,38.76443114360048,-9.094490687324912,3,3405
Rachel Tardiff,0,0,38.7631905025305,-9.094391726349002,0,46369
Richard Woodard,1,1,38.77732227123882,-9.122846109357289,1,198
Gala Heft,0,1,38.77144890032722,-9.192621589327734,0,35098
Sarah Brown,0,1,38.767707532706495,-9.128057031774782,1,15871
Patricia Butler,0,1,38.78161570217416,-9.156135536748256,2,4177
Gary Larson,1,1,38.71562085615476,-9.12528405439451,0,13948
Steve Toribio,1,0,38.73225162555318,-9.13985379266736,0,46803
Buddy Conway,1,1,38.76389786867756,-9.0946274956288,2,11930
Anthony Dusek,1,0,38.7595283796698,-9.165714754059264,0,28762
Eddy White,1,0,38.712903124380965,-9.19601443169497,0,35113
Murray Casano,1,1,38.71859011466195,-9.124510992575736,2,12049
Thomas Oleary,1,1,38.72783880232852,-9.13770108458097,0,11720
Gregory Vanlue,1,0,38.7722840520638,-9.12927397539824,0,41057
James Marshall,1,0,38.76984880097913,-9.150453686222503,0,36483
Nova Hadnot,0,0,38.76315312015128,-9.095594564855505,0,37986
Jose Reed,1,1,38.73842408418993,-9.180263316543114,2,8080
Mary Uy,0,1,38.77329756033935,-9.138090348639352,0,30987
Jamie Ollie,0,0,38.75583866392147,-9.139757268910971,0,35982
Jimmie Hart,0,0,38.73006101824608,-9.145998275005086,0,43959
Chelsea Duer,0,0,38.72974056446007,-9.127220067683762,0,37719
Terry Wilson,1,1,38.77234154555472,-9.13441283954693,0,18802
John Miller,1,1,38.76222281188995,-9.150199250754683,1,4375
Richard Ochoa,1,1,38.75138493078168,-9.128870401686768,3,12573
Christopher Couch,1,1,38.77244135525586,-9.130516543663836,0,29531
Kathleen Cosme,0,1,38.75427211256908,-9.128561537709004,3,15235
Marguerite Budreau,0,1,38.72031737620206,-9.137331882897424,0,2902
